#tiré du fichier Gnumeric TALDICE
#ztop (m)	d18O (pm)	deut	Bintanja Isotot
315	-35.28	-269.635848	0.35486734331235
316	-36.19	-276.936672	0.36004873817992
317	-36.57	-280.641656	0.36507563143449
318	-37.65	-289.793016	0.37008827804589
319	-37.30	-287.02368	0.37479945650567
320	-35.86	-275.843184	0.38014713811537
321	-35.81	-275.467536	0.38509480521787
322	-36.39	-279.182856	0.389957121795
323	-37.00	-283.482008	0.39464543757085
324	-36.53	-280.121776	0.3994826654639
325	-35.57	-272.63764	0.40431731596989
326	-36.19	-277.63212	0.40936164456185
327	-35.53	-272.75736	0.41495395505866
328	-34.94	-268.346112	0.42038938424818
329	-35.87	-275.800568	0.42659939922488
330	-36.38	-279.938544	0.43220049079237
331	-37.01	-284.957536	0.43740931627496
332	-36.43	-279.782016	0.44341939547175
333	-36.62	-280.924688	0.44893393817494
334	-36.20	-277.785992	0.45507041185117
335	-37.23	-287.755776	0.46109732504296
336	-36.03	-278.161304	0.46683452661402
337	-36.08	-278.01488	0.47445395671763
338	-36.33	-279.658824	0.48134026581019
339	-35.47	-272.793848	0.48845847128218
340	-36.17	-278.388168	0.49481485335441
341	-37.06	-285.461208	0.50195464098719
342	-35.65	-274.576544	0.50967738627273
343	-36.16	-278.856352	0.51646585593839
344	-34.98	-269.301992	0.52294388243634
345	-36.80	-282.7074	0.52870053400394
346	-36.30	-278.69128	0.53536699386569
347	-35.78	-274.851504	0.54182733145329
348	-36.68	-282.3079632	0.54883894849821
349	-36.09	-277.6200636	0.55574424751916
350	-35.59	-273.611552	0.56277627811643
351	-36.85	-283.6789908	0.57042527397377
352	-36.71	-281.675868	0.57715041124198
353	-37.16	-284.5887604	0.58480818453517
354	-37.47	-287.3506864	0.59120387247641
355	-37.41	-289.8473324	0.59907821092439
356	-36.23	-280.4231388	0.60580128730027
357	-35.34	-272.1042044	0.61246212151611
358	-35.08	-269.1	0.62053486058615
359	-36.47	-280.3	0.62784151583025
360	-36.88	-283.58	0.63508397533604
361	-36.43	-279.94	0.64250448275926
362	-36.35	-279.244	0.65049954892456
363	-35.55	-272.76	0.65875974573991
364	-37.12	-285.448	0.66689750128053
365	-36.34	-279.92	0.67573940086657
366	-36.50	-281.24	0.68374549792722
367	-35.05	-268.648	0.69112147284262
368	-34.97	-267.22	0.69883754381622
369	-36.70	-281.06	0.70684508724892
370	-35.66	-272.74	0.71516841308924
371	-35.62	-272.46	0.72283308029021
372	-37.44	-287.428	0.73029512125683
373	-37.52	-288.42	0.73935329206568
374	-36.83	-283.0590316	0.74661488583538
375	-35.96	-278.1170224	0.75521340819441
376	-36.54	-282.6807928	0.76348278579251
377	-36.06	-278.5723764	0.77203366883065
378	-36.23	-279.6311932	0.77999292921701
379	-36.79	-284.12	0.78868516637654
380	-37.90	-293.0078576	0.79798399299763
381	-36.58	-282.4327384	0.80606393340958
382	-36.72	-283.0803856	0.81479203582841
383	-37.68	-290.4740792	0.82451026121061
384	-37.70	-290.7160576	0.83480064573386
385	-36.83	-284.5361192	0.84409346331343
386	-37.54	-290.2024464	0.85418237475863
387	-36.41	-279.7931776	0.86349477280758
388	-36.41	-279.149168	0.87254559398224
389	-36.10	-276.729876	0.88059836375546
390	-36.28	-278.149384	0.88940823091421
391	-35.51	-271.991232	0.89958162292174
392	-37.18	-285.1032528	0.90916328090517
393	-36.50	-279.5249184	0.91694652258125
394	-36.84	-282.2591048	0.92572765939721
395	-36.31	-278.0534056	0.93521219926751
396	-37.03	-283.8156272	0.94414163159019
397	-35.81	-273.5745528	0.9544906122999
398	-36.27	-276.969408	0.96304313413486
399	-36.95	-282.4211196	0.97282739373153
400	-37.49	-286.727588	0.98305655694897
401	-37.50	-286.827602	0.99086315869402
402	-37.56	-291.1374228	0.99895158520869
403	-36.98	-288.5451028	1.00749816204401
404	-35.48	-275.9412132	1.01713009988037
405	-36.95	-284.6651588	1.0266005505022
406	-36.20	-278.671284	1.03593556641502
407	-35.67	-273.3726868	1.04515438312825
408	-35.95	-275.0758972	1.05419202993512
409	-36.93	-282.9252008	1.06214449949542
410	-37.55	-287.8794676	1.07087040354542
411	-36.06	-276.011634	1.07856790034875
412	-37.64	-288.6311932	1.08766106623968
413	-37.41	-286.7558624	1.09664498890202
414	-36.49	-279.7043852	1.10597135267837
415	-37.29	-287.6122152	1.11463374567292
416	-36.10	-278.088594	1.12311193625389
417	-37.21	-286.99794	1.13257879431931
418	-36.62	-282.269498	1.1415649684016
419	-36.17	-278.405276	1.15031240022929
420	-35.70	-273.215078	1.15944833365116
421	-36.43	-279.038656	1.16863065162867
422	-37.07	-285.84893	1.17717911202189
423	-37.21	-287.89806	1.18714557548334
424	-36.05	-278.386086	1.19819819295262
425	-37.58	-289.531876	1.20752352305891
426	-36.25	-278.927814	1.2165
427	-37.31	-287.409442	1.23259295277222
428	-36.65	-282.113312	1.24865301140263
429	-37.21	-286.57809	1.264587562755
430	-36.47	-280.698356	1.27889316619955
431	-37.17	-286.294336	1.29163275547016
432	-36.09	-277.575546	1.30640117715609
433	-36.46	-280.470458	1.32261126760319
434	-36.52	-280.9772816	1.33711147735704
435	-34.63	-265.9316128	1.35282629614658
436	-36.36	-279.790752	1.36822528824745
437	-36.79	-283.1036012	1.38144355980926
438	-37.76	-290.8107872	1.39606491072033
439	-36.94	-284.1850748	1.41114721647136
440	-37.26	-286.788204	1.42509158070036
441	-36.25	-278.730962	1.437709747923
442	-37.82	-291.031608	1.45139268219435
443	-36.63	-281.4619316	1.4629234428309
444	-35.31	-270.9306696	1.47577738143195
445	-35.87	-275.6561352	1.48690258560504
446	-37.27	-286.8921592	1.50011709336194
447	-36.67	-282.0378504	1.51320521837015
448	-37.41	-287.9597476	1.52469809422393
449	-36.95	-284.2970804	1.53562258488609
450	-35.54	-273.0450676	1.54551497392108
451	-36.78	-282.9535732	1.55745981573128
452	-36.79	-282.8915536	1.56827830735274
453	-36.39	-279.5946932	1.5770951650278
454	-35.97	-276.2408832	1.58595854180646
455	-36.27	-278.551018	1.59678855720774
456	-36.70	-281.969856	1.6062586320492
457	-36.21	-278.2292224	1.61590722343014
458	-36.95	-284.2210916	1.62543923654934
459	-36.20	-278.231242	1.63391565731234
460	-36.66	-281.8779484	1.64188883469545
461	-38.34	-295.325236	1.6496564577022
462	-37.30	-287.5452096	1.65747168667253
463	-37.43	-288.9437588	1.6651177694958
464	-36.50	-281.6693432	1.67269952356815
465	-35.92	-277.7840036	1.67963671091768
466	-37.56	-290.892	1.68693845130469
467	-38.20	-294.383	1.6931449182535
468	-36.74	-281.804	1.70022855404266
469	-36.66	-281.156	1.70539622466004
470	-37.00	-283.868	1.71018484875312
471	-37.27	-286.072	1.7151219474539
472	-37.69	-290.107	1.71978422240511
473	-37.42	-288.4	1.72452854031205
474	-36.99	-285.038	1.7283006889643
475	-36.24	-279.944	1.73119283854943
476	-37.28	-288.2	1.73383592417105
477	-37.38	-286.022	1.73579143200686
478	-37.74	-287.31379370258	1.73761719150317
479	-36.14	-274.513135250116	1.73916903817554
480	-36.87	-280.356871496105	1.74034040279616
481	-37.62	-286.389535942856	1.74123263941073
482	-37.06	-284.124619641606	1.74216298832483
483	-36.51	-280.996195160809	1.74283778463175
484	-37.57	-289.718294355797	1.74323259576062
485	-36.18	-279.971107783601	1.74367806717841
486	-36.70	-284.062591376839	1.74389867722718
487	-37.94	-292.406744932739	1.74379448663268
488	-36.70	-281.6136425857	1.74302044575507
489	-37.89	-291.083817148336	1.74171726070286
490	-35.79	-274.282482054775	1.74034213271597
491	-36.47	-279.788004462671	1.73898004459912
492	-37.69	-289.877487806919	1.7375780511592
493	-37.13	-285.676923448772	1.73591947378227
494	-37.40	-287.911721643268	1.73441679019186
495	-37.08	-285.82662361074	1.73266726192132
496	-36.38	-280.203286448363	1.7308729356953
497	-37.28	-287.437568098217	1.7290494678498
498	-37.32	-287.742446319688	1.72692180313954
499	-36.94	-284.69978139969	1.72466518897867
500	-36.93	-285.734406228311	1.72271225089724
501	-37.32	-289.392587667556	1.72058312326317
502	-37.22	-288.3837660203	1.71835504692955
503	-37.49	-289.608618203415	1.71583558037551
504	-38.19	-295.190249893225	1.71346041745095
505	-37.03	-285.940237043559	1.71133523762895
506	-36.82	-284.247777068974	1.70955658919625
507	-37.55	-289.803198841661	1.70775817430521
508	-37.45	-288.923806529216	1.70604947120399
509	-37.07	-285.772666397333	1.70443302711254
510	-38.20	-294.583862760455	1.70277427321888
511	-36.61	-281.735227655197	1.70129560887208
512	-37.97	-291.940584977307	1.6997951369411
