#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.500000000000000000e+01	2.397624303024771564e+01	3.058023443827037280e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.480825833804878977e-02	3.399984158338318144e-03	1.013476157881938677e+00	3.347504198046716978e-02	7.430165643529724662e+01	1.662118790725777373e+01	1.500000000000000000e+01	0.000000000000000000e+00	8.742999999999989669e-02	1.518275901423447594e-01	9.936099999999999932e-01	5.027787207377255874e-02	7.192771428571430192e+01	2.384339141681265928e-01	1.554561785434547538e-01	4.952648423739169220e-03	inf	nan
1.600000000000000000e+01	3.040892399133585400e+01	3.261784242460081362e+00	-5.400000000000000000e+01	0.000000000000000000e+00	9.475678447161466067e-02	3.394895422724837544e-03	1.013492788503311370e+00	3.309363052908154135e-02	7.430527480643543470e+01	1.661528263609550393e+01	1.600000000000000000e+01	0.000000000000000000e+00	8.739000000000007873e-02	1.519754465679330480e-01	9.931200000000000028e-01	5.058893931968046903e-02	7.192771428571430192e+01	2.385361436646067090e-01	1.501091294117323782e-01	4.636836981727779014e-03	inf	nan
1.700000000000000000e+01	3.707074398802048165e+01	3.466104859742110023e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.569530993263946295e-02	3.067212148018272702e-03	1.013498962328742037e+00	3.274720828716061460e-02	7.430902384372132019e+01	1.660916575242522342e+01	1.700000000000000000e+01	0.000000000000000000e+00	7.903999999999999915e-02	1.521325016910832773e-01	9.926199999999999468e-01	5.090000656558837239e-02	7.192771428571430192e+01	2.386420596084223023e-01	1.380950307556803314e-01	4.133478351822893193e-03	inf	nan
1.800000000000000000e+01	4.431213417076510552e+01	3.680969042787820555e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.568705914497438958e-02	3.063627392484231937e-03	1.013494663486549152e+00	3.243694117971476776e-02	7.431310097394980119e+01	1.660251779572066511e+01	1.800000000000000000e+01	0.000000000000000000e+00	7.903999999999999915e-02	1.522961788972101715e-01	9.921100000000000474e-01	5.121107381149628268e-02	7.192771428571430192e+01	2.387572386060591023e-01	1.380811492110216587e-01	4.002415292032340637e-03	inf	nan
1.900000000000000000e+01	5.155425234340397367e+01	3.888663550216437059e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.567880491094585771e-02	3.060047854314407179e-03	1.013500317599558276e+00	3.216446398200416973e-02	7.431718042392449775e+01	1.659586935791340068e+01	1.900000000000000000e+01	0.000000000000000000e+00	7.903999999999999915e-02	1.524599394382664952e-01	9.916099999999999914e-01	5.152214105740418604e-02	7.192771428571430192e+01	2.388724768121393560e-01	1.380686181113863764e-01	3.873429552685384719e-03	inf	nan
2.000000000000000000e+01	5.879702781026099956e+01	4.089234450775919960e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.567054731061263251e-02	3.056474960209643130e-03	1.013495488095869979e+00	3.193015794165563609e-02	7.432126215499485511e+01	1.658922201646317873e+01	2.000000000000000000e+01	0.000000000000000000e+00	7.903999999999999915e-02	1.526280217214600610e-01	9.910999999999999810e-01	5.183320830331209633e-02	7.192771428571430192e+01	2.389877731248371273e-01	1.312652513561056722e-01	3.562398486386039991e-03	inf	nan
2.100000000000000000e+01	6.641519019268108082e+01	4.292749126420527972e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.566185899469838660e-02	3.052724604173112297e-03	1.013480159071343145e+00	3.173487336636396372e-02	7.432555745556747695e+01	1.658223169045657031e+01	2.100000000000000000e+01	0.000000000000000000e+00	7.903999999999999915e-02	1.528004297111480170e-01	9.905800000000000161e-01	5.214427554921999969e-02	7.192771428571430192e+01	2.391090952796968427e-01	1.312499538600881144e-01	3.444015116439713264e-03	inf	nan
2.200000000000000000e+01	7.403424049014628849e+01	4.488888763286434269e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.565316699971958769e-02	3.048981471090488754e-03	1.013464551000966773e+00	3.157960714766881033e-02	7.432985525937338878e+01	1.657523951769325521e+01	2.200000000000000000e+01	0.000000000000000000e+00	7.903999999999999915e-02	1.529729282293187109e-01	9.900600000000000511e-01	5.245534279512790998e-02	7.192771428571430192e+01	2.392304811220129224e-01	1.312346149958903418e-01	3.328239259238939107e-03	inf	nan
2.300000000000000000e+01	8.165418131163849580e+01	4.677718252766688067e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.564447132218501457e-02	3.045245389870403999e-03	1.013438421990284999e+00	3.146467508170858185e-02	7.433415556918698996e+01	1.656824893028073831e+01	2.300000000000000000e+01	0.000000000000000000e+00	7.903999999999977710e-02	1.531455182433973938e-01	9.895300000000000207e-01	5.276641004103581334e-02	7.192771428571430192e+01	2.393519307186852962e-01	1.312179086701348307e-01	3.215315165449459094e-03	inf	nan
2.400000000000000000e+01	8.927509228434630018e+01	4.859300648702172154e+00	-5.400000000000000000e+01	0.000000000000000000e+00	8.563577187068971419e-02	3.041517467670331373e-03	1.013412002929866107e+00	3.139086186461902128e-02	7.433845843127191699e+01	1.656125937131923820e+01	2.400000000000000000e+01	0.000000000000000000e+00	7.903999999999999915e-02	1.533210327053220745e-01	9.889999999999999902e-01	5.307747728694372363e-02	7.192771428571430192e+01	2.394734453647106298e-01	1.270355252783733346e-01	3.006990821294114932e-03	inf	nan
