#From Jouzel et al. (Science, 2007)
#Extrapolated for depths <=6.05 m
#Excess extrapolated for depth>=2151.6 m
#depth-top (m)	d18O (pm)	deut (pm)	d18OSW (pm)
262.35	-51.2	-401	0.16931972982241
262.9	-51.4	-401.5	0.17014777715345
263.45	-51.3	-400.4	0.17098099642303
264	-51.3	-400.3	0.17182838103247
264.55	-52.0	-407.3	0.17275038979724
265.1	-51.7	-403	0.1737530165948
265.65	-51.8	-404.2	0.17470571780413
266.2	-51.5	-401.2	0.17567241338699
266.75	-51.0	-397.2	0.17665820941516
267.3	-50.8	-396.9	0.17766390179194
267.85	-50.8	-397.8	0.17866625537884
268.4	-52.4	-409.5	0.17967969591662
268.95	-50.8	-397.1	0.18084535073263
269.5	-50.0	-390.3	0.18186821268567
270.05	-50.9	-397.5	0.1828312355677
270.6	-51.2	-401.9	0.18388096428288
271.15	-50.2	-392.4	0.18498758910309
271.7	-51.2	-399.9	0.185975816198
272.25	-51.1	-399.3	0.18709493946943
272.8	-50.8	-396.7	0.18832761891626
273.35	-51.4	-402.1	0.18952293103737
273.9	-51.4	-401.8	0.19079818770012
274.45	-50.9	-397.5	0.19206923350228
275	-51.3	-400.2	0.19327700857513
275.55	-50.5	-395	0.19452468956359
276.1	-51.8	-404.4	0.19569759258177
276.65	-51.5	-402.1	0.19701014537114
277.2	-50.9	-397.9	0.19828749786749
277.75	-50.5	-393.4	0.19952712729946
278.3	-51.0	-397.7	0.20077199882887
278.85	-50.7	-397.4	0.20208280110034
279.4	-50.8	-397.4	0.2033892736953
279.95	-51.0	-399	0.20469610273314
280.5	-50.0	-391.8	0.20604383964131
281.05	-50.3	-392.7	0.2074128536327
281.6	-51.3	-401.1	0.20879703316339
282.15	-50.6	-396.1	0.21032763397725
282.7	-50.8	-397.7	0.21176993806499
283.25	-50.6	-395.6	0.21324045662076
283.8	-51.0	-398.6	0.2147089565156
284.35	-50.5	-394.9	0.21623583968124
284.9	-50.6	-394.9	0.21769718810722
285.45	-52.1	-407.4	0.21915897810473
286	-51.6	-403.4	0.22085653576163
286.55	-50.1	-392.2	0.22261832568901
287.1	-51.1	-400.4	0.22418222209442
287.65	-50.0	-391.1	0.22590747727028
288.2	-49.7	-388.5	0.22745190266845
288.75	-50.4	-394.8	0.2289495783807
289.3	-50.8	-397.7	0.23065552353009
289.85	-51.4	-401.2	0.23248548802995
290.4	-50.2	-391.9	0.2343941099514
290.95	-50.3	-393.3	0.2361026821776
291.5	-50.3	-394.3	0.23784057391087
292.05	-50.5	-395	0.23962996880011
292.6	-50.1	-392.4	0.24148088616233
293.15	-50.2	-393.5	0.24327577533841
293.7	-49.9	-390	0.24509493786107
294.25	-49.8	-389.25	0.24684018065453
294.8	-49.7	-388.5	0.24857038749081
295.35	-50.4	-394.3	0.25040737108871
295.9	-51.7	-403.6	0.2523790313175
296.45	-50.3	-393.3	0.25458297386587
297	-51.0	-398	0.25653258908084
297.55	-50.0	-391	0.25859543870858
298.1	-50.5	-395.8	0.26057973438479
298.65	-49.3	-386.4	0.26270651165848
299.2	-50.1	-391.8	0.26460818870815
299.75	-50.9	-398.2	0.26663720071744
300.3	-50.1	-391.6	0.26882807330206
300.85	-50.4	-393.4	0.27090797418429
301.4	-49.1	-384.4	0.27311001343283
301.95	-50.1	-391.3	0.27508841107384
302.5	-50.0	-391	0.27723742066383
303.05	-49.6	-388.3	0.27937948978466
303.6	-50.0	-391.4	0.28145433347235
304.15	-48.9	-382.9	0.28367338411976
304.7	-49.5	-387.2	0.28568659215102
305.25	-51.9	-405.5	0.28780657918439
305.8	-50.1	-391.7	0.29044511578575
306.35	-50.2	-392.1	0.29268369047415
306.9	-51.2	-400.4	0.29497129892469
307.45	-49.6	-386.7	0.29753889056564
308	-50.5	-394.5	0.29971989978303
308.55	-49.9	-389.9	0.30211464572037
309.1	-50.5	-394.7	0.30438227193756
309.65	-50.8	-396.6	0.30678840469575
310.2	-49.6	-388.6	0.30926635319017
310.75	-50.4	-392.9	0.31151943204712
311.3	-50.4	-395.2	0.31389207256588
311.85	-49.9	-389.1	0.31633166987096
312.4	-49.7	-388.7	0.31860076712539
312.95	-50.0	-391.8	0.32085989434277
313.5	-49.6	-388.8	0.32320506582138
314.05	-50.8	-397.7	0.32546857377762
314.6	-49.8	-390.4	0.32798675519655
315.15	-48.9	-382.1	0.33029562978101
315.7	-49.4	-387.9	0.33239451577688
316.25	-49.7	-390.6	0.33465496454054
316.8	-50.2	-393.3	0.33699032908021
317.35	-49.8	-388.1	0.33940319464201
317.9	-50.1	-391.6	0.34167180005946
318.45	-50.7	-396.9	0.34403821790163
319	-51.1	-398.7	0.34654169814162
319.55	-49.5	-386.6	0.34909935127492
320.1	-50.0	-390.7	0.35131394084094
320.65	-50.0	-391.2	0.35364062003819
321.2	-49.8	-389.5	0.35598223211882
321.75	-51.1	-400.9	0.35828951246979
322.3	-49.7	-388.6	0.36094174524558
322.85	-50.9	-397.9	0.36323275163134
323.4	-50.2	-393	0.36579387108768
323.95	-50.3	-394.4	0.36821050605542
324.5	-51.0	-399.4	0.37066892388385
325.05	-49.6	-388.2	0.37327967306766
325.6	-49.4	-386.8	0.37556465594429
326.15	-49.0	-383	0.37781272949854
326.7	-49.6	-387.5	0.37996201879764
327.25	-49.8	-390.1	0.38223041463224
327.8	-48.1	-377.1	0.3845349561833
328.35	-50.6	-397.4	0.38650917027652
328.9	-49.9	-390.6	0.38902601197184
329.45	-50.2	-393.2	0.39134774882414
330	-50.4	-395.2	0.39374385462938
330.55	-50.3	-393.7	0.3962950020253
