# depth thinning sigma_thinning accu sigma_accu LIDIE sigma_LIDIE age sigma_age gas_age sigma_gas_age Ddepth sigma_Ddepth
5.500000000000000000e+00 9.979615802803099012e-01 1.055047083626429956e-04 3.234606013789768919e-02 5.892073679347537484e-04 7.015091082462015493e+01 2.800059417101287806e+01 2.808211469546587580e+01 3.544618593440773680e+00 -5.000000000000000000e+01 0.000000000000000000e+00 5.500000000000000000e+00 0.000000000000000000e+00
6.050000000000000711e+00 9.977674447476001518e-01 1.155719250356305143e-04 3.234792027854622998e-02 5.888399202150323931e-04 7.015210712982128882e+01 2.797967838871943158e+01 3.543720658543234947e+01 3.475085832077815962e+00 -5.000000000000000000e+01 0.000000000000000000e+00 6.050000000000000711e+00 0.000000000000000000e+00
6.600000000000000533e+00 9.975733091590103241e-01 1.255816670676314004e-04 3.234980286099949781e-02 5.884719590242454583e-04 7.015331781445867421e+01 2.795851563322996469e+01 4.288014139373136402e+01 3.408704334693514415e+00 -5.000000000000000000e+01 0.000000000000000000e+00 6.600000000000000533e+00 0.000000000000000000e+00
7.150000000000000355e+00 9.973791735145401960e-01 1.355942585989031992e-04 3.382504187626928643e-02 7.547292651847037218e-04 7.015454292201525277e+01 2.793710175582859279e+01 5.041116622450599039e+01 3.345840132975699710e+00 -5.000000000000000000e+01 0.000000000000000000e+00 7.150000000000000355e+00 0.000000000000000000e+00
7.700000000000001066e+00 9.971850378141901006e-01 1.456174766614319084e-04 3.613934414506745491e-02 1.033845206044002206e-03 7.015572850003739802e+01 2.791638098244134270e+01 5.769863068961912234e+01 3.286200187319040289e+00 -5.000000000000000000e+01 0.000000000000000000e+00 7.700000000000001066e+00 0.000000000000000000e+00
8.250000000000000000e+00 9.969909020579593717e-01 1.556793007491481990e-04 2.971879966859098873e-02 3.249423022357093805e-04 7.015685119949941395e+01 2.789676184070928500e+01 6.459908097480933975e+01 3.234369123871182250e+00 -5.000000000000000000e+01 0.000000000000000000e+00 8.250000000000000000e+00 0.000000000000000000e+00
8.800000000000000711e+00 9.967967662458492306e-01 1.656651085803732425e-04 2.686428508673381274e-02 2.014173537837546108e-04 7.015823234940340569e+01 2.787262909718259252e+01 7.308742693683427660e+01 3.184312096996683383e+00 -5.000000000000000000e+01 0.000000000000000000e+00 8.800000000000000711e+00 0.000000000000000000e+00
9.350000000000001421e+00 9.966026303778584561e-01 1.756680423232300165e-04 2.860887965557618734e-02 2.415212414374758813e-04 7.015977790823076532e+01 2.784562681708048615e+01 8.258536500301420347e+01 3.131155326265944616e+00 -5.000000000000000000e+01 0.000000000000000000e+00 9.350000000000001421e+00 0.000000000000000000e+00
9.900000000000000355e+00 9.964084944539872701e-01 1.856889543430968596e-04 2.774468462729445806e-02 2.034829088429095686e-04 7.016124584061432756e+01 2.781998873920075255e+01 9.160538755941300337e+01 3.080484655381122039e+00 -5.000000000000000000e+01 0.000000000000000000e+00 9.900000000000000355e+00 0.000000000000000000e+00
1.045000000000000107e+01 9.962143584742362279e-01 1.956986371528744153e-04 2.764028445217972529e-02 2.006994611046922000e-04 7.016277666365583343e+01 2.779325443693424447e+01 1.010109774173661208e+02 3.028849006137025679e+00 -5.000000000000000000e+01 0.000000000000000000e+00 1.045000000000000107e+01 0.000000000000000000e+00
