# depth thinning sigma_thinning accu sigma_accu LIDIE sigma_LIDIE age sigma_age gas_age sigma_gas_age Ddepth sigma_Ddepth
1.300000000000000000e+01 9.898807783070433519e-01 7.861832323519607826e-04 1.063255127029596875e-01 6.082142883897531140e-03 5.530943525355294810e+01 2.205864897821124515e+01 -1.373871971297390360e+00 3.503423279121579270e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.300000000000000000e+01 0.000000000000000000e+00
1.400000000000000000e+01 9.891312050394105437e-01 8.442303267864481207e-04 7.252185504511986236e-02 4.127433022355327455e-03 5.530110631258754950e+01 2.203659009550129966e+01 3.841114824679337403e+00 3.497023468771551080e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.400000000000000000e+01 0.000000000000000000e+00
1.500000000000000000e+01 9.883816315937945518e-01 9.022764225554868360e-04 5.559690876100736867e-02 6.418253722766933608e-03 5.528860084410177933e+01 2.200349436998070374e+01 1.167236195461862280e+01 3.478389266437338989e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.500000000000000000e+01 0.000000000000000000e+00
1.600000000000000000e+01 9.876321299859629477e-01 9.595629760263607111e-04 7.655951415697845319e-02 3.575794400223304345e-03 5.527190751008140523e+01 2.195935079703462733e+01 2.212840381538364909e+01 3.447675012947468076e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.600000000000000000e+01 0.000000000000000000e+00
1.700000000000000000e+01 9.868827960001295141e-01 1.016410097750159889e-03 7.391693937427455674e-02 3.916879740585142537e-03 5.525950989834777971e+01 2.192658162135675681e+01 2.989530782396013819e+01 3.431821694670298228e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.700000000000000000e+01 0.000000000000000000e+00
1.800000000000000000e+01 9.861334614719912128e-01 1.075033575423415492e-03 9.039501012151768267e-02 3.049809430728299495e-03 5.524638699617919713e+01 2.189191847523064283e+01 3.811808904451298474e+01 3.414886552989555923e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.800000000000000000e+01 0.000000000000000000e+00
1.900000000000000000e+01 9.853841264015473778e-01 1.135099288671743934e-03 7.880771534130222300e-02 3.295951582139653412e-03 5.523552367630193771e+01 2.186323546818737640e+01 4.492614467286747981e+01 3.403526713746737897e+01 -5.000000000000000000e+01 0.000000000000000000e+00 1.900000000000000000e+01 0.000000000000000000e+00
2.000000000000000000e+01 9.846347907887986750e-01 1.196357263288806445e-03 8.269046039752873944e-02 2.954150013141918548e-03 5.522291179435370623e+01 2.182995753174074949e+01 5.283136502504450505e+01 3.388613159937715835e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.000000000000000000e+01 0.000000000000000000e+00
2.100000000000000000e+01 9.838854546337455487e-01 1.258686641290693688e-03 8.655354661682099215e-02 2.844827447363537567e-03 5.521074871324659483e+01 2.179788197714449183e+01 6.045660255740715172e+01 3.375059302698774388e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.100000000000000000e+01 0.000000000000000000e+00
2.200000000000000000e+01 9.831361179363876657e-01 1.321855410066745786e-03 8.335127473585685065e-02 2.905181720725056628e-03 5.519899219765621012e+01 2.176689421844841021e+01 6.782819828123959383e+01 3.362653370339573655e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.200000000000000000e+01 0.000000000000000000e+00
2.300000000000000000e+01 9.823867806967254701e-01 1.385838903587459977e-03 7.516649248994866639e-02 3.717297673781007599e-03 5.518664334944632799e+01 2.173436517539493806e+01 7.557252901045903570e+01 3.349328756073526847e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.300000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 9.816374429147604053e-01 1.450408454722708958e-03 8.338385254307567607e-02 2.889830099913503168e-03 5.517279508867271431e+01 2.169791181857509343e+01 8.425882173098702310e+01 3.333366346623550669e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.400000000000000000e+01 0.000000000000000000e+00
2.500000000000000000e+01 9.808881045904921381e-01 1.515546833833740330e-03 8.244990529684352587e-02 2.936544713271828453e-03 5.516017293655617237e+01 2.166470484210218572e+01 9.217750464772856844e+01 3.320201012976932731e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.500000000000000000e+01 0.000000000000000000e+00
2.600000000000000000e+01 9.801387657239217788e-01 1.581189190269821805e-03 6.861149433866177427e-02 4.629642698562872263e-03 5.514726856249287579e+01 2.163077559824616714e+01 1.002747109743440888e+02 3.306831934088232572e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.600000000000000000e+01 0.000000000000000000e+00
2.700000000000000000e+01 9.793894263150507706e-01 1.647230540334646779e-03 7.435803306290179882e-02 3.802634670871062311e-03 5.513159580287312878e+01 2.158960125224226445e+01 1.101110616415941195e+02 3.289247596132884155e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.700000000000000000e+01 0.000000000000000000e+00
2.800000000000000000e+01 9.786400863638798908e-01 1.713629810210595596e-03 8.982750116282114949e-02 2.944338648419565340e-03 5.511698266299742244e+01 2.155123585485056736e+01 1.192843353142472154e+02 3.274283939629396656e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.800000000000000000e+01 0.000000000000000000e+00
2.900000000000000000e+01 9.778907458704110267e-01 1.780306209955816350e-03 9.941100366405460076e-02 4.422600311893534926e-03 5.510476130061390165e+01 2.151916828693596173e+01 1.269576136343881956e+02 3.262808475957368159e+01 -5.000000000000000000e+01 0.000000000000000000e+00 2.900000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 9.771414048346453995e-01 1.847302314224744850e-03 9.159744262670189985e-02 3.103489660123329337e-03 5.509360605853340331e+01 2.148991269145557226e+01 1.339626652642986642e+02 3.252928152484652458e+01 -5.000000000000000000e+01 0.000000000000000000e+00 3.000000000000000000e+01 0.000000000000000000e+00
3.100000000000000000e+01 9.763920632565857849e-01 1.914537305173029001e-03 8.584141933297234628e-02 2.775786692539808191e-03 5.508137874281865720e+01 2.145786477694655048e+01 1.416422254129284966e+02 3.241917775183238604e+01 -5.000000000000000000e+01 0.000000000000000000e+00 3.100000000000000000e+01 0.000000000000000000e+00
