#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.900000000000000000e+01	-3.092906294704537373e+00	1.743462648944427845e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.691137987075659654e-01	3.412231350627325729e-03	7.400464060234750452e-01	9.439564813181115441e-03	6.532147572552855763e+01	1.474958952003234458e+01	1.100000000000000000e+01	0.000000000000000000e+00	2.788659999999998362e-01	1.503450337302264517e-01	9.960999999999999854e-01	2.828710432285891710e-02	7.036914285714290429e+01	2.315903539299321301e-01	3.189344433525810318e-01	1.891586238010861784e-04	inf	nan
2.000000000000000000e+01	4.253429768862559968e-02	1.929274146588912456e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.787077115283041473e-01	3.532946271301815998e-03	7.422993287552616115e-01	9.463081327692463365e-03	6.532044227297890870e+01	1.474757068837248930e+01	1.200000000000000000e+01	0.000000000000000000e+00	2.888079999999999536e-01	1.503832539029864579e-01	9.959000000000000075e-01	2.825385551389882066e-02	7.036914285714290429e+01	2.316270497675573525e-01	3.274256426922368957e-01	1.911422878990620873e-04	inf	nan
2.100000000000000000e+01	3.096662837461998663e+00	2.107406727320395787e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.773775082777458767e-01	3.515173765144087321e-03	7.444843025789379398e-01	9.485693300108812703e-03	6.531943237111978817e+01	1.474559926941687849e+01	1.300000000000000000e+01	0.000000000000000000e+00	2.874299999999996302e-01	1.504213264271354600e-01	9.956000000000000405e-01	2.822060670493872769e-02	7.036914285714290429e+01	2.316629099280456128e-01	3.234780332859865659e-01	1.858225463642330824e-04	inf	nan
2.200000000000000000e+01	6.188062861883132371e+00	2.284796009141178835e-02	-3.000000000000000000e+01	0.000000000000000000e+00	3.267738366005166206e-01	4.140085093711865470e-03	7.466756401233161089e-01	9.508399339967672781e-03	6.531840684434664013e+01	1.474359531106451193e+01	1.400000000000000000e+01	0.000000000000000000e+00	3.386170000000001679e-01	1.504569513065557307e-01	9.952999999999999625e-01	2.818735789597863473e-02	7.036914285714290429e+01	2.316993254740979113e-01	3.786117391414035027e-01	2.139811517347735596e-04	inf	nan
2.300000000000000000e+01	8.829291055884063155e+00	2.433880295035673047e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.952142612531930554e-01	3.739398838473640026e-03	7.489486233342862453e-01	9.532109308013675744e-03	6.531752782570920601e+01	1.474188083561449325e+01	1.500000000000000000e+01	0.000000000000000000e+00	3.059139999999995752e-01	1.504918636828163903e-01	9.950999999999999845e-01	2.815410908701853829e-02	7.036914285714290429e+01	2.317305391012636495e-01	3.381400557819072561e-01	1.879461842552693056e-04	inf	nan
2.400000000000000000e+01	1.178664550975857850e+01	2.598005503756477610e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.568677215982745898e-01	3.252853952031647521e-03	7.511529875325219097e-01	9.554915098522954314e-03	6.531654041890156748e+01	1.473995356206992824e+01	1.600000000000000000e+01	0.000000000000000000e+00	2.661780000000000257e-01	1.505318659338146514e-01	9.948000000000000176e-01	2.812086027805844532e-02	7.036914285714290429e+01	2.317656020532753991e-01	2.909929606783298039e-01	1.590537004134786909e-04	inf	nan
2.500000000000000000e+01	1.522315475612973756e+01	2.785502768277052857e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.453015303153019688e-01	3.105469310749070164e-03	7.534395242932693249e-01	9.578747068929437114e-03	6.531538932736397385e+01	1.473770872926959896e+01	1.700000000000000000e+01	0.000000000000000000e+00	2.541929999999998913e-01	1.505762478584713182e-01	9.946000000000000396e-01	2.808761146909835235e-02	7.036914285714290429e+01	2.318064781417852882e-01	2.751040732894505791e-01	1.478652089171662626e-04	inf	nan
2.600000000000000000e+01	1.885814273737947389e+01	2.980498166958724451e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.516876042404890268e-01	3.185321528154943897e-03	7.556569919029675342e-01	9.601675026544513603e-03	6.531416782573005264e+01	1.473532560428081339e+01	1.800000000000000000e+01	0.000000000000000000e+00	2.608110000000003481e-01	1.506216488513798801e-01	9.942999999999999616e-01	2.805436266013825591e-02	7.036914285714290429e+01	2.318498553312990929e-01	2.796489020301874961e-01	1.477830200600951775e-04	inf	nan
2.700000000000000000e+01	2.243405522171332223e+01	3.169070285925798536e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.850005449503789645e-01	3.605817000427371122e-03	7.578809168061283463e-01	9.624664219474924134e-03	6.531296230007029635e+01	1.473297639520789026e+01	1.900000000000000000e+01	0.000000000000000000e+00	2.953320000000001500e-01	1.506643541831686750e-01	9.939999999999999947e-01	2.802111385117816295e-02	7.036914285714290429e+01	2.318926659875731600e-01	3.139269182152373272e-01	1.630688767854186468e-04	inf	nan
2.800000000000000000e+01	2.561950999470724355e+01	3.334162330194462287e-02	-3.000000000000000000e+01	0.000000000000000000e+00	2.484202144753955288e-01	3.142137251626902182e-03	7.601113175595116678e-01	9.647681480250675998e-03	6.531188494213722606e+01	1.473087603075853202e+01	2.000000000000000000e+01	0.000000000000000000e+00	2.574259999999997106e-01	1.507078180357262209e-01	9.937000000000000277e-01	2.798786504221806651e-02	7.036914285714290429e+01	2.319309258170909882e-01	2.723071215621232222e-01	1.389836884961812035e-04	inf	nan
