#Herron-Langway model fitted onto measured density, from the .gnumeric model
#depth, m	Relative density
124.3	0.9757802924539
124.85	0.97609037540424
125.4	0.97639576084094
125.95	0.9766964813885
126.5	0.9769925708169
127.05	0.97728406399767
127.6	0.97757099685998
128.15	0.97785340634694
128.7	0.97813133037219
129.25	0.97840480777665
129.8	0.97867387828562
130.35	0.97893858246615
130.9	0.97919896168481
131.45	0.97945505806577
132	0.97970691444934
132.55	0.97995457435088
133.1	0.98019808192023
133.65	0.98043748190161
134.2	0.98067281959395
134.75	0.98090414081183
135.3	0.98113149184698
135.85	0.98135491943027
136.4	0.98157447069436
136.95	0.98179019313694
137.5	0.9820021345846
138.05	0.98221034315735
138.6	0.98241486723377
139.15	0.98261575541691
139.7	0.9828130565008
140.25	0.98300681943771
140.8	0.98319709330609
141.35	0.98338392727931
141.9	0.98356737059503
142.45	0.98374747252541
143	0.98392428234801
143.55	0.98409784931748
144.1	0.984268222638
144.65	0.9844354514365
145.2	0.98459958473664
145.75	0.9847606714336
146.3	0.98491876026962
146.85	0.9850738998103
147.4	0.98522613842175
147.95	0.98537552424844
148.5	0.9855221051919
149.05	0.98566592889015
149.6	0.98580704269794
150.15	0.9859454936677
150.7	0.98608132853136
151.25	0.98621459368282
151.8	0.98634533516126
152.35	0.98647359863515
152.9	0.98659942938706
153.45	0.9867228722991
154	0.98684397183924
154.55	0.9869627720482
155.1	0.98707931652716
155.65	0.9871936484261
156.2	0.98730581043287
156.75	0.98741584476293
157.3	0.98752379314975
157.85	0.9876296968359
158.4	0.98773359656472
158.95	0.98783553257269
159.5	0.98793554458239
160.05	0.98803367179608
160.6	0.98812995288986
161.15	0.98822442600842
161.7	0.98831712876039
162.25	0.98840809821417
162.8	0.98849737089439
163.35	0.98858498277884
163.9	0.98867096929589
164.45	0.98875536532252
165	0.98883820518271
165.55	0.98891952264634
166.1	0.98899935092861
166.65	0.98907772268981
167.2	0.98915467003554
167.75	0.98923022451739
168.3	0.98930441713398
168.85	0.98937727833236
169.4	0.98944883800982
169.95	0.98951912551605
170.5	0.98958816965561
171.05	0.98965599869076
171.6	0.98972264034457
172.15	0.98978812180438
172.7	0.98985246972546
173.25	0.98991571023502
173.8	0.98997786893647
174.350000000001	0.99003897091385
174.900000000001	0.99009904073657
175.450000000001	0.99015810246436
176.000000000001	0.99021617965238
176.550000000001	0.99027329535656
177.100000000001	0.99032947213912
177.650000000001	0.99038473207423
178.200000000001	0.99043909675389
178.750000000001	0.99049258729388
179.300000000001	0.99054522433989
179.850000000001	0.99059702807379
