#depth	age	sigma_age	air_age	sigma_air_age	accu	sigma_accu	thinning	sigma_thinning	LID	sigma_LID	Ddepth	sigma_Ddepth	accu_model	sigma_accu_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
5.890000000000000000e+02	9.645714677028836377e+03	1.356582674597349047e+01	8.611175069629814971e+03	1.501086414948345578e+02	6.755919683091908545e-02	2.747887779139018133e-03	6.523960145593975524e-01	2.701168838979796025e-02	8.609777126575258421e+01	1.419919951271083924e+01	4.647738016310552212e+01	6.844719222431451477e+00	6.796369999999996026e-02	3.751100951002708794e-01	7.469099999999999628e-01	1.384110569867787466e-01	8.945685714285710333e+01	5.125425032910719825e-01	4.438214231809935184e-02	3.614419297257047328e-04	5.002265647549669625e-02	5.854126260109836742e-03
5.900000000000000000e+02	9.668246261755701198e+03	1.351162290802719035e+01	8.631166011144283402e+03	1.524008120568123559e+02	6.967333567701045061e-02	2.840322548361227679e-03	6.515689772399926305e-01	2.704949737599260384e-02	8.640112123180774972e+01	1.425560074954050904e+01	4.656578489485855243e+01	6.864797100176854627e+00	7.009734999999750471e-02	3.755770346745130883e-01	7.465600000000000014e-01	1.388383427340352250e-01	8.980742857142860203e+01	5.131521413774500218e-01	4.571074260521055393e-02	3.783321315016848624e-04	4.837184287566659302e-02	2.680139900231253564e-02
5.910000000000000000e+02	9.690122957320170826e+03	1.345591206056845301e+01	8.651839194975016653e+03	1.637977574279919395e+02	7.335155152725959804e-02	2.996855239479954188e-03	6.507341246833703297e-01	2.708861833826512952e-02	8.670524172065786672e+01	1.431203996361840325e+01	4.665434474143160060e+01	6.880637130708061378e+00	7.380495000000308892e-02	3.760254446438518472e-01	7.461999999999999744e-01	1.392656284812917311e-01	9.015800000000000125e+01	5.137435290558138856e-01	4.805990999382130091e-02	4.047221687335451402e-04	4.598998215095470576e-02	1.061292390942604469e-02
5.920000000000000000e+02	9.710930320466055491e+03	1.340000340981731952e+01	8.673583060774260957e+03	1.687745298884054534e+02	7.057615642329784222e-02	2.889488371059410147e-03	6.499001905537904467e-01	2.712934966691511046e-02	8.701090868232978437e+01	1.436852370850256655e+01	4.674341050901239214e+01	6.896518191229993988e+00	7.101879999999738402e-02	3.764711128132653961e-01	7.458399999999999475e-01	1.396929142285482095e-01	9.050871428571430499e+01	5.143055067293096361e-01	4.617993403168076105e-02	3.960795164384370726e-04	4.605239723736361673e-02	4.202207279699326364e-02
5.930000000000000000e+02	9.732584747241848163e+03	1.333888184907094221e+01	8.695297456983556913e+03	1.490250385040703804e+02	6.798867321889420778e-02	2.789593268693312759e-03	6.490410538122238782e-01	2.717059735139712093e-02	8.731494287356028394e+01	1.442507663611509372e+01	4.683140101129049526e+01	6.912340315870948437e+00	6.842149999999946886e-02	3.769342320368003207e-01	7.454499999999999460e-01	1.401201999758046879e-01	9.085928571428570422e+01	5.148898421625146549e-01	4.442589326423515561e-02	3.884231677107600924e-04	5.101243577404855623e-02	1.054256638941831505e-02
5.940000000000000000e+02	9.755094142698508222e+03	1.327246039606116845e+01	8.714900520135242914e+03	1.530330847917557833e+02	6.845991768765474772e-02	2.815248412833645970e-03	6.481915751338684917e-01	2.721377086972216058e-02	8.761759619772550423e+01	1.448175487406511586e+01	4.691844469126681361e+01	6.932573591329331819e+00	6.890245000000305708e-02	3.774045940236858687e-01	7.450700000000000101e-01	1.405474857230611663e-01	9.120999999999999375e+01	5.154967060842057247e-01	4.467308904689417520e-02	3.984619101187620574e-04	4.989957734972490233e-02	1.707768386714432962e-03
5.950000000000000000e+02	9.777478983803861411e+03	1.320371438583500279e+01	8.734940770035385867e+03	1.535947504053168302e+02	6.070940908038312961e-02	2.502100236631069497e-03	6.473169615281997302e-01	2.725742330002910163e-02	8.792008310769622881e+01	1.453847132225987160e+01	4.700516637854093460e+01	6.958129882301411939e+00	6.110774999999790680e-02	3.779035007207566244e-01	7.446599999999999886e-01	1.409747714703176447e-01	9.156057142857139297e+01	5.160996707916718496e-01	3.956015802839208534e-02	3.602051887359252694e-04	5.081127773951005927e-02	7.351712071178979208e-03
5.960000000000000000e+02	9.802756941472340259e+03	1.312337438255085331e+01	8.754621440242630342e+03	1.507768078917830508e+02	7.344214859991361755e-02	3.034484321484679642e-03	6.464346462479021449e-01	2.730222195281535244e-02	8.821791139221269873e+01	1.459540380499781520e+01	4.708935314054053833e+01	6.974026056904206960e+00	7.393210000000038917e-02	3.783867244722993739e-01	7.442400000000000126e-01	1.414020572175741230e-01	9.191114285714290588e+01	5.167799552034453292e-01	4.778964680348693483e-02	4.444437078331033150e-04	4.520381789167304820e-02	3.176785992890448357e-03
5.970000000000000000e+02	9.823681975802726811e+03	1.305473235204795657e+01	8.776743465475021367e+03	1.492576029753546436e+02	6.940130203817210242e-02	2.873477389785098011e-03	6.455533280023302289e-01	2.734851550074354418e-02	8.826807152317935845e+01	1.461011976498043197e+01	4.705067960588814913e+01	6.970018994783777622e+00	6.987060000000155924e-02	3.788370617304017696e-01	7.438200000000000367e-01	1.418293429648306014e-01	9.199685714285719484e+01	5.173425814545343782e-01	4.509645074308478441e-02	4.285427451556058569e-04	4.295797101743393381e-02	1.486859079684632427e-02
5.980000000000000000e+02	9.845856669897768370e+03	1.297965512816798395e+01	8.800022032323398889e+03	1.572620604533189521e+02	6.873603934580108099e-02	2.852178703571550331e-03	6.446556618546881445e-01	2.739557643743675483e-02	8.831615842644033876e+01	1.462494112702465543e+01	4.701096038221612616e+01	6.966048509186587800e+00	6.920745000000039227e-02	3.793026250962757695e-01	7.433800000000000407e-01	1.422566287120870798e-01	9.208242857142859350e+01	5.179382777780137115e-01	4.459988348323295354e-02	4.332197108398969142e-04	4.223153745810438731e-02	4.160306582473519837e-02
5.990000000000000000e+02	9.868278253137463253e+03	1.290171396169764861e+01	8.823701018696841857e+03	1.340273025384217078e+02	7.091406069697937797e-02	2.949069958915159426e-03	6.437503533937982692e-01	2.744370059952410193e-02	8.836398410667248982e+01	1.463985823145272747e+01	4.697109077962363699e+01	6.952742880605502052e+00	7.140729999999706479e-02	3.797634980680761885e-01	7.429299999999999793e-01	1.426839144593435582e-01	9.216814285714289667e+01	5.185400674428277679e-01	4.594624817126646138e-02	4.563118530602677044e-04	4.982172465227530100e-02	4.598596668056222081e-02
6.000000000000000000e+02	9.890042815855891604e+03	1.282429212365799387e+01	8.843772584002526855e+03	1.524534102367815080e+02	6.154964318631280656e-02	2.565122846373506845e-03	6.428460804333014922e-01	2.749327249907506862e-02	8.841266009942965809e+01	1.465476889464600774e+01	4.693157808496130201e+01	6.949091840057551650e+00	6.198355000000077553e-02	3.802519809222295599e-01	7.424800000000000288e-01	1.431112002066000366e-01	9.225371428571429533e+01	5.191236994983803310e-01	3.982094477060877519e-02	4.044287725187539610e-04	4.332579481737260790e-02	4.199763237999842164e-02
6.010000000000000000e+02	9.915155228576397349e+03	1.273333540104746575e+01	8.866853522372271982e+03	1.747311863857218270e+02	7.111423796179888734e-02	2.971047039340270722e-03	6.419255395541199061e-01	2.754351512819914333e-02	8.845632430694759307e+01	1.466997762934244598e+01	4.688951110266464184e+01	6.945546681746060713e+00	7.162329999999883512e-02	3.807400820764113569e-01	7.420099999999999474e-01	1.435384859538565427e-01	9.233942857142859850e+01	5.197965051616163512e-01	4.594085116145986414e-02	4.772109347556872353e-04	3.898558618716498059e-02	2.693017310451249757e-02
6.020000000000000000e+02	9.936922348138146845e+03	1.265335598727170208e+01	8.892504028054016089e+03	1.570634726329107025e+02	7.143387695558693629e-02	2.990767137713951432e-03	6.410060596876362426e-01	2.759514558360923187e-02	8.850495505634977178e+01	1.468501247213083793e+01	4.684975188857549711e+01	6.942223092973731191e+00	7.195194999999898755e-02	3.811922515099277486e-01	7.415399999999999769e-01	1.439657717011130211e-01	9.242499999999999716e+01	5.203791554381000939e-01	4.607899319124301313e-02	4.895704591766160451e-04	4.368200144828440074e-02	3.484295275419200394e-02
6.030000000000000000e+02	9.958624211194261079e+03	1.257244476222061103e+01	8.915396751987096650e+03	1.388707042804568914e+02	6.699866171627702482e-02	2.811025905188311875e-03	6.400876397257208028e-01	2.764813032315483268e-02	8.855380306516461530e+01	1.470012325256186969e+01	4.680995399494315734e+01	6.938852756256329357e+00	6.749084999999865886e-02	3.816586194479246741e-01	7.410700000000000065e-01	1.443930574483694995e-01	9.251071428571430033e+01	5.209595403157114557e-01	4.315399408790367847e-02	4.689640488783987154e-04	4.718464978263822718e-02	3.342581274987228845e-02
6.040000000000000000e+02	9.981797037282223755e+03	1.248521628893472979e+01	8.936590085086030740e+03	1.537985558004842233e+02	7.121287355478171655e-02	2.994592505289567913e-03	6.391613161828537670e-01	2.770207253459556693e-02	8.860024376477026919e+01	1.471537321142881538e+01	4.676883841519452290e+01	6.935713327674677409e+00	7.174314400000270098e-02	3.821259568612520030e-01	7.405896153846199814e-01	1.448203431956259779e-01	9.259628571428569899e+01	5.215787108844186504e-01	4.579971838103528980e-02	5.090717074811208255e-04	4.306517451379270056e-02	1.354256439988881129e-02
6.050000000000000000e+02	1.000363123267356605e+04	1.240258364423420190e+01	8.959810703864197421e+03	1.610463534038867408e+02	7.057309710272678671e-02	2.973993170161998503e-03	6.382367280110009533e-01	2.775737422191578221e-02	8.864884952670134055e+01	1.473061174679520136e+01	4.672860950655808665e+01	6.932573124000099618e+00	7.110525000000222917e-02	3.825813765904073627e-01	7.401100000000000456e-01	1.452476289428824563e-01	9.268200000000000216e+01	5.221615893712985290e-01	4.532042873114128234e-02	5.151978547879915897e-04	4.180176401219187071e-02	4.936983937167817998e-03
6.060000000000000000e+02	1.002569633726320717e+04	1.231887529448187024e+01	8.983733139283629498e+03	1.582470525078603032e+02	7.011989621506450887e-02	2.961221527355778829e-03	6.373042616244272152e-01	2.781353367242907909e-02	8.869694620822954789e+01	1.474589983240669078e+01	4.668796774695772456e+01	6.929565752896471587e+00	7.065529999999853317e-02	3.830406093005219725e-01	7.396200000000000552e-01	1.456749146901389347e-01	9.276757142857140082e+01	5.227501061969173080e-01	4.496141127365151091e-02	5.226842445791608912e-04	4.233759664783020432e-02	1.144982091719665401e-03
6.070000000000000000e+02	1.004793763200179092e+04	1.223458442212453612e+01	9.007352807833030965e+03	1.577523109501766783e+02	6.745151028005380578e-02	2.854667795935908730e-03	6.363814880205551638e-01	2.787140570234236323e-02	8.874489083068212381e+01	1.476128206868023263e+01	4.664706671012254446e+01	6.926541135029163243e+00	6.797300000000205955e-02	3.835107230672035183e-01	7.391400000000000192e-01	1.461022004373954131e-01	9.285328571428570399e+01	5.233427921377487024e-01	4.318569086840873955e-02	5.133363682306834458e-04	4.352924286869837983e-02	2.092576975088162455e-02
