#This is the raw Datice output, not the official AICC2012 file.
#Depth (m)	Ice age (a B1950)	Ice age std (a)	Gas age (a B1950)	Gas age std (a)	Accu. Rate (m ie)	Thinning	LIDIE (m ie)
491.7	19579.6	487.743	15772.7	1569.77	0.0146	0.8842	59.74
493.35	19707.4	493.189	15831.2	1536.65	0.0152	0.8834	60.57
495	19830.5	497.864	15887.8	1593.28	0.0143	0.8826	61.05
496.65	19961.3	501.149	15963.6	1618.02	0.0141	0.8819	61.81
498.3	20094.2	502.85	16025.4	1640.46	0.0144	0.8812	62.6
499.95	20224.2	503.139	16085.8	1649.43	0.0153	0.8804	63.61
501.6	20346.6	501.851	16134.5	1700.49	0.0144	0.8796	62.92
503.25	20476.9	499.388	16274.1	1738.5	0.0153	0.8789	61.03
504.9	20599.6	495.443	16486.5	1679.64	0.015	0.8783	58.77
506.55	20725.1	489.866	16726	1704.51	0.0145	0.8775	57.5
508.2	20854.7	483.439	16912.9	1807.07	0.0155	0.8768	57.92
509.85	20975.9	475.32	17004.8	1807.37	0.0148	0.8759	57.95
511.5	21102.9	466.197	17125.2	1914.86	0.0153	0.8753	58.38
513.15	21226.3	455.359	17219.1	1937.84	0.0147	0.8744	59.25
514.8	21354.6	443.697	17290.6	2017.88	0.0151	0.8738	60.42
516.45	21479.5	430.181	17340.7	2037.02	0.0145	0.8731	61.13
518.1	21610.2	416.613	17423.9	1993.57	0.0155	0.8724	60.13
519.75	21732.6	401.202	17616.5	2019.48	0.0144	0.8717	57.66
521.4	21863.6	384.708	17920	1902.31	0.0139	0.871	55.46
523.05	21999.7	369.274	18216.3	1973.73	0.0149	0.8701	54.88
524.7	22127	352.835	18394	1993.03	0.014	0.8695	55.31
526.35	22262.5	336.331	18502.5	1932.77	0.0135	0.8688	55.81
528	22403.3	321.641	18603.1	1984.5	0.0138	0.868	56.13
529.65	22540.7	309.093	18716.5	2010.87	0.0143	0.8673	55.31
531.3	22673.5	298.412	18914.2	1918.73	0.0143	0.8666	54.29
532.95	22806.9	289.478	19116	1861.25	0.0137	0.866	53.68
534.6	22946	282.558	19292.5	1880.11	0.0136	0.8652	54.01
536.25	23086.1	277.663	19404.1	1898.48	0.0137	0.8645	54.35
537.9	23225.8	275.059	19516.3	1841.94	0.0145	0.8639	54.98
539.55	23357.1	274.536	19606.8	1786.76	0.0139	0.8634	55.28
541.2	23494.5	276.578	19716.9	1792.96	0.0132	0.8626	55.56
542.85	23639.7	280.637	19825	1921.14	0.0137	0.8618	56.19
544.5	23779	286.311	19915.6	1981.32	0.0137	0.8611	56.92
546.15	23919.1	294.127	20000.4	1973.2	0.0126	0.8606	57.5
547.8	24071.1	303.607	20095.4	2013.47	0.0123	0.8599	58.34
549.45	24226.9	313.949	20171.7	1935.41	0.0121	0.8591	59.07
551.1	24385.9	324.097	20253.9	2044.52	0.0126	0.8586	58.48
552.75	24537.9	334.534	20420.6	1937.82	0.0119	0.8579	57.2
554.4	24700	343.439	20632.4	1968.26	0.0127	0.8571	56.34
556.05	24851.2	351.422	20820.7	1885.17	0.0114	0.8564	54.92
557.7	25020.7	357.029	21038.9	1850.61	0.0116	0.8558	53.25
559.35	25186.8	359.733	21275.2	1792.08	0.0116	0.8551	52.87
561	25353.9	359.329	21429.3	1857.41	0.0117	0.8544	54.9
562.65	25519	355.59	21425.9	1919.55	0.0109	0.8536	54.55
564.3	25696.3	349.864	21581.6	1832.62	0.0113	0.853	55.61
565.95	25867.3	342.498	21641	1953	0.0116	0.8523	55.75
567.6	26033.7	334.007	21758.9	2006.72	0.0115	0.8517	57.44
569.25	26202.3	324.447	21778.4	2066.16	0.0118	0.8511	57.12
570.9	26366.5	313.717	21936.9	2141.19	0.0117	0.8505	59.22
