# depth thinning sigma_thinning accu sigma_accu LIDIE sigma_LIDIE age sigma_age gas_age sigma_gas_age Ddepth sigma_Ddepth
2.400000000000000000e+01 9.931954794904266359e-01 4.053693792023547798e-04 6.592294379829813367e-02 1.275566410779417972e-03 5.386753027754625833e+01 1.788959729898611428e+01 1.075129765458384838e+02 2.238594735057980145e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.400000000000000000e+01 0.000000000000000000e+00
2.500000000000000000e+01 9.929762943506272865e-01 4.170947694446827344e-04 6.592405745292446995e-02 1.274752947116828197e-03 5.387075946622215383e+01 1.788423746924374669e+01 1.172751170932742184e+02 2.234726039112177887e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.500000000000000000e+01 0.000000000000000000e+00
2.600000000000000000e+01 9.927572207893554657e-01 4.298437993967440694e-04 6.592518489704551898e-02 1.273931258188471752e-03 5.387402878097661585e+01 1.787881011606950565e+01 1.271577913619452715e+02 2.230967350879765121e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.600000000000000000e+01 0.000000000000000000e+00
2.700000000000000000e+01 9.925381468177225663e-01 4.445927231430344957e-04 6.592632528330753805e-02 1.273099963339361599e-03 5.387733576975931271e+01 1.787332022592203273e+01 1.371535584649905672e+02 2.227327627843482816e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.700000000000000000e+01 0.000000000000000000e+00
2.800000000000000000e+01 9.923190724357279224e-01 4.611457064359529112e-04 6.592747893196003461e-02 1.272259605025928856e-03 5.388068136628614013e+01 1.786776771874410130e+01 1.472652133984892657e+02 2.223811840451738675e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.800000000000000000e+01 0.000000000000000000e+00
2.900000000000000000e+01 9.920599972402769362e-01 4.792803754709314243e-04 6.592864612861476514e-02 1.271408268471002721e-03 5.388406640404055992e+01 1.786214791245386024e+01 1.574952470388847985e+02 2.220425480438069954e+01 -4.700000000000000000e+01 0.000000000000000000e+00 2.900000000000000000e+01 0.000000000000000000e+00
3.000000000000000000e+01 9.917809213394546131e-01 4.988671225259816086e-04 6.592982605534208895e-02 1.270550660487120790e-03 5.388748851606997192e+01 1.785646773964451839e+01 1.678364780789395923e+02 2.217177092983716591e+01 -4.700000000000000000e+01 0.000000000000000000e+00 3.000000000000000000e+01 0.000000000000000000e+00
3.100000000000000000e+01 9.915118450355813184e-01 5.196580420352703289e-04 6.593101806297488321e-02 1.269681553498657649e-03 5.389094582453761006e+01 1.785072776920033988e+01 1.782832051373190438e+02 2.214074409427475842e+01 -4.700000000000000000e+01 0.000000000000000000e+00 3.100000000000000000e+01 0.000000000000000000e+00
3.200000000000000000e+01 9.912227679702584338e-01 5.415886218588728462e-04 6.593222237375581662e-02 1.268805340537462398e-03 5.389443897893076496e+01 1.784492906389984768e+01 1.888373642109099819e+02 2.211122725589392601e+01 -4.700000000000000000e+01 0.000000000000000000e+00 3.200000000000000000e+01 0.000000000000000000e+00
3.300000000000000000e+01 9.909136900874084830e-01 5.644885234679030642e-04 6.593343926405004218e-02 1.267919031688235099e-03 5.389796878590267681e+01 1.783906950516342249e+01 1.995013651771820378e+02 2.208327415730994403e+01 -4.700000000000000000e+01 0.000000000000000000e+00 3.300000000000000000e+01 0.000000000000000000e+00
